tgname,tgenabled,proname
RI_ConstraintTrigger_a_16733,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_16734,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_16761,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_16762,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_16797,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_16798,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_16988,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_16989,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_17289,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_17290,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_17303,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_17304,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_17324,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_17325,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_17340,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_17341,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_17357,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_17358,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_17444,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_17445,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_17548,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_17549,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_17650,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_17651,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_17679,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_17680,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_17748,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_17749,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_17779,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_17780,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_17801,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_17802,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_17890,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_17891,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_17947,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_17948,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_17966,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_17967,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_17985,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_17986,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_18003,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_18004,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_18023,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_18024,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_18114,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_18115,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_18133,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_18134,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_18160,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_18161,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_18179,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_18180,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_18253,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_18254,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_18271,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_18272,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_18294,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_18295,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_18358,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_18359,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_18380,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_18381,O,RI_FKey_noaction_upd
on_auth_user_created_sleep_setup,O,handle_new_user_sleep_setup
RI_ConstraintTrigger_a_18446,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_18447,O,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_18460,O,RI_FKey_cascade_del
RI_ConstraintTrigger_a_18461,O,RI_FKey_noaction_upd